PhraseId	Phrase	Sentiment
156171	becomes a heady experience .	2
156172	becomes a heady experience	2
156173	becomes	2
156174	a heady experience	2
156175	heady experience	2
156176	heady	2
156177	experience	2
156178	I kept wishing I was watching a documentary about the wartime Navajos and what they accomplished instead of all this specious Hollywood hoo-ha .	2
156179	I	2
156180	kept wishing I was watching a documentary about the wartime Navajos and what they accomplished instead of all this specious Hollywood hoo-ha .	2
156181	kept wishing I was watching a documentary about the wartime Navajos and what they accomplished instead of all this specious Hollywood hoo-ha	2
156182	kept	2
156183	wishing I was watching a documentary about the wartime Navajos and what they accomplished instead of all this specious Hollywood hoo-ha	2
156184	wishing	2
156185	I was watching a documentary about the wartime Navajos and what they accomplished instead of all this specious Hollywood hoo-ha	3
156186	I was watching a documentary about the wartime Navajos and	2
156187	I was watching a documentary about the wartime Navajos	2
156188	was watching a documentary about the wartime Navajos	2
156189	was	2
156190	watching a documentary about the wartime Navajos	2
156191	a documentary about the wartime Navajos	2
156192	a documentary	2
156193	documentary	2
156194	about the wartime Navajos	2
156195	about	2
156196	the wartime Navajos	2
156197	wartime Navajos	2
156198	wartime	2
156199	Navajos	2
156200	and	2
156201	what they accomplished instead of all this specious Hollywood hoo-ha	3
156202	what	2
156203	they accomplished instead of all this specious Hollywood hoo-ha	3
156204	they	2
156205	accomplished instead of all this specious Hollywood hoo-ha	3
156206	accomplished	2
156207	instead of all this specious Hollywood hoo-ha	2
156208	instead	3
156209	of all this specious Hollywood hoo-ha	2
156210	all this specious Hollywood hoo-ha	2
156211	all this specious	2
156212	all	2
156213	this specious	2
156214	this	2
156215	specious	2
156216	Hollywood hoo-ha	2
156217	Hollywood	2
156218	hoo-ha	2
156219	Kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .	2
156220	Kinnear	2
156221	does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .	2
156222	does n't aim for our sympathy , but rather delivers a performance of striking skill and depth	2
156223	does n't aim for our sympathy , but	2
156224	does n't aim for our sympathy ,	2
156225	does n't aim for our sympathy	2
156226	does n't	2
156227	does	2
156228	n't	2
156229	aim for our sympathy	2
156230	aim	2
156231	for our sympathy	2
156232	for	2
156233	our sympathy	2
156234	our	2
156235	sympathy	2
156236	rather delivers a performance of striking skill and depth	2
156237	rather	2
156238	delivers a performance of striking skill and depth	2
156239	delivers	2
156240	a performance of striking skill and depth	1
156241	a performance	2
156242	performance	2
156243	of striking skill and depth	2
156244	striking skill and depth	2
156245	striking	2
156246	skill and depth	3
156247	skill and	2
156248	skill	2
156249	depth	2
156250	All ends well , sort of , but the frenzied comic moments never click .	2
156251	All ends well , sort of , but the frenzied comic moments never click	2
156252	All ends well , sort of , but	2
156253	All ends well , sort of ,	2
156254	All ends well , sort of	2
156255	ends well , sort of	2
156256	ends well ,	3
156257	ends well	3
156258	ends	2
156259	well	2
156260	sort of	2
156261	sort	2
156262	the frenzied comic moments never click	2
156263	the frenzied comic moments	2
156264	frenzied comic moments	2
156265	frenzied	2
156266	comic moments	2
156267	comic	2
156268	moments	2
156269	never click	2
156270	never	2
156271	click	2
156272	It 's a hoot and a half , and a great way for the American people to see what a candidate is like when he 's not giving the same 15-cent stump speech .	2
156273	It	2
156274	's a hoot and a half , and a great way for the American people to see what a candidate is like when he 's not giving the same 15-cent stump speech .	2
156275	's a hoot and a half , and a great way for the American people to see what a candidate is like when he 's not giving the same 15-cent stump speech	2
156276	's a hoot and a half , and a great way for the American people	2
156277	a hoot and a half , and a great way for the American people	2
156278	a hoot and a half , and	2
156279	a hoot and a half ,	2
156280	a hoot and a half	2
156281	a hoot and	2
156282	a hoot	2
156283	hoot	2
156284	a half	2
156285	half	2
156286	a great way for the American people	1
156287	a great way	2
156288	great way	2
156289	great	2
156290	way	2
156291	for the American people	1
156292	the American people	1
156293	American people	1
156294	American	1
156295	people	2
156296	to see what a candidate is like when he 's not giving the same 15-cent stump speech	2
156297	to	2
156298	see what a candidate is like when he 's not giving the same 15-cent stump speech	2
156299	see	2
156300	what a candidate is like when he 's not giving the same 15-cent stump speech	2
156301	a candidate is like when he 's not giving the same 15-cent stump speech	2
156302	a candidate	2
156303	candidate	2
156304	is like when he 's not giving the same 15-cent stump speech	2
156305	like when he 's not giving the same 15-cent stump speech	2
156306	like	2
156307	when he 's not giving the same 15-cent stump speech	2
156308	when	2
156309	he 's not giving the same 15-cent stump speech	2
156310	he	2
156311	's not giving the same 15-cent stump speech	2
156312	's not	2
156313	not	2
156314	giving the same 15-cent stump speech	2
156315	giving	2
156316	the same 15-cent stump speech	2
156317	same 15-cent stump speech	2
156318	same	2
156319	15-cent stump speech	2
156320	15-cent	2
156321	stump speech	2
156322	stump	2
156323	speech	2
156324	The weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .	2
156325	The weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic	2
156326	The weight	2
156327	weight	2
156328	of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic	2
156329	the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic	2
156330	the piece ,	3
156331	the piece	3
156332	piece	3
156333	the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic	2
156334	the unerring professionalism of the chilly production , and	2
156335	the unerring professionalism of the chilly production ,	2
156336	the unerring professionalism of the chilly production	2
156337	the unerring professionalism	2
156338	unerring professionalism	2
156339	unerring	2
156340	professionalism	2
156341	of the chilly production	2
156342	the chilly production	2
156343	chilly production	2
156344	chilly	2
156345	production	2
156346	the fascination embedded in the lurid topic	2
156347	the fascination	2
156348	fascination	2
156349	embedded in the lurid topic	2
156350	embedded	2
156351	in the lurid topic	2
156352	the lurid topic	2
156353	lurid topic	2
156354	lurid	2
156355	topic	2
156356	prove recommendation enough .	2
156357	prove recommendation enough	2
156358	prove recommendation	2
156359	prove	2
156360	recommendation	2
156361	enough	2
156362	The film contains no good jokes , no good scenes , barely a moment when Carvey 's Saturday Night Live-honed mimicry rises above the level of embarrassment .	2
156363	The film	2
156364	contains no good jokes , no good scenes , barely a moment when Carvey 's Saturday Night Live-honed mimicry rises above the level of embarrassment .	2
156365	contains no good jokes , no good scenes , barely a moment when Carvey 's Saturday Night Live-honed mimicry rises above the level of embarrassment	2
156366	contains	2
156367	no good jokes , no good scenes , barely a moment when Carvey 's Saturday Night Live-honed mimicry rises above the level of embarrassment	2
156368	no good jokes , no good scenes , barely a moment	3
156369	no good jokes , no good scenes ,	3
156370	no good jokes , no good scenes	3
156371	no good jokes ,	3
156372	no good jokes	3
156373	no	2
156374	good jokes	3
156375	good	3
156376	jokes	2
156377	no good scenes	3
156378	good scenes	3
156379	scenes	2
156380	barely a moment	2
156381	barely	2
156382	a moment	2
156383	moment	2
156384	when Carvey 's Saturday Night Live-honed mimicry rises above the level of embarrassment	2
156385	Carvey 's Saturday Night Live-honed mimicry rises above the level of embarrassment	2
156386	Carvey 's Saturday Night Live-honed mimicry	2
156387	Carvey 's	2
156388	Carvey	2
156389	Saturday Night Live-honed mimicry	2
156390	Saturday	2
156391	Night Live-honed mimicry	2
156392	Night	2
156393	Live-honed mimicry	2
156394	Live-honed	2
156395	mimicry	2
156396	rises above the level of embarrassment	2
156397	rises	2
156398	above the level of embarrassment	2
156399	above	2
156400	the level of embarrassment	2
156401	the level	2
156402	level	2
156403	of embarrassment	2
156404	embarrassment	2
156405	An offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays .	1
156406	An offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays	1
156407	An offbeat , sometimes gross and surprisingly appealing animated film	2
156408	offbeat , sometimes gross and surprisingly appealing animated film	2
156409	offbeat	2
156410	, sometimes gross and surprisingly appealing animated film	2
156411	sometimes gross and surprisingly appealing animated film	2
156412	sometimes gross and surprisingly appealing	2
156413	sometimes gross and	2
156414	sometimes gross	2
156415	sometimes	2
156416	gross	3
156417	surprisingly appealing	2
156418	surprisingly	2
156419	appealing	2
156420	animated film	2
156421	animated	2
156422	about the true meaning of the holidays	1
156423	the true meaning of the holidays	1
156424	the true meaning	1
156425	true meaning	1
156426	true	1
156427	meaning	2
156428	of the holidays	2
156429	the holidays	2
156430	holidays	2
156431	It suggests the wide-ranging effects of media manipulation , from the kind of reporting that is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks .	2
156432	suggests the wide-ranging effects of media manipulation , from the kind of reporting that is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks .	2
156433	suggests the wide-ranging effects of media manipulation , from the kind of reporting that is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks	2
156434	suggests the wide-ranging effects of media manipulation ,	2
156435	suggests the wide-ranging effects of media manipulation	2
156436	suggests	2
156437	the wide-ranging effects of media manipulation	2
156438	the wide-ranging effects	2
156439	wide-ranging effects	2
156440	wide-ranging	2
156441	effects	2
156442	of media manipulation	2
156443	media manipulation	2
156444	media	2
156445	manipulation	2
156446	from the kind of reporting that is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks	2
156447	from	2
156448	the kind of reporting that is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks	2
156449	the kind	2
156450	kind	2
156451	of reporting that is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks	2
156452	reporting that is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks	2
156453	reporting	2
156454	that is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks	2
156455	is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks	2
156456	done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks	2
156457	done by the supposedly liberal media ...	2
156458	done by the supposedly liberal media	2
156459	done	2
156460	by the supposedly liberal media	2
156461	the supposedly liberal media	2
156462	supposedly liberal media	2
156463	supposedly liberal	2
156464	supposedly	2
156465	liberal	2
156466	to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks	2
156467	the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks	2
156468	the intimate and ultimately tragic heartache	2
156469	intimate and ultimately tragic heartache	2
156470	intimate and ultimately tragic	2
156471	intimate and	2
156472	intimate	2
156473	ultimately tragic	2
156474	ultimately	2
156475	tragic	2
156476	heartache	2
156477	of maverick individuals like Hatfield and Hicks	2
156478	maverick individuals like Hatfield and Hicks	2
156479	maverick individuals	2
156480	maverick	2
156481	individuals	2
156482	like Hatfield and Hicks	2
156483	Hatfield and Hicks	2
156484	Hatfield and	2
156485	Hatfield	2
156486	Hicks	2
156487	As Tweedy talks about canning his stockbroker and repairing his pool , you yearn for a few airborne TV sets or nude groupies on the nod to liven things up .	1
156488	As Tweedy talks about canning his stockbroker and repairing his pool	2
156489	Tweedy talks about canning his stockbroker and repairing his pool	2
156490	Tweedy	2
156491	talks about canning his stockbroker and repairing his pool	2
156492	talks	2
156493	about canning his stockbroker and repairing his pool	2
156494	canning his stockbroker and repairing his pool	2
156495	canning his stockbroker and	2
156496	canning his stockbroker	2
156497	canning	2
156498	his stockbroker	2
156499	his	2
156500	stockbroker	2
156501	repairing his pool	2
156502	repairing	2
156503	his pool	2
156504	pool	2
156505	, you yearn for a few airborne TV sets or nude groupies on the nod to liven things up .	1
156506	you yearn for a few airborne TV sets or nude groupies on the nod to liven things up .	1
156507	yearn for a few airborne TV sets or nude groupies on the nod to liven things up .	1
156508	yearn for a few airborne TV sets or nude groupies on the nod to liven things up	1
156509	yearn	2
156510	for a few airborne TV sets or nude groupies on the nod to liven things up	1
156511	a few airborne TV sets or nude groupies on the nod to liven things up	1
156512	a few airborne TV sets or	1
156513	a few airborne TV sets	1
156514	few airborne TV sets	1
156515	few	2
156516	airborne TV sets	1
156517	airborne	2
156518	TV sets	1
156519	TV	1
156520	sets	2
156521	or	2
156522	nude groupies on the nod to liven things up	2
156523	nude groupies	2
156524	nude	2
156525	groupies	2
156526	on the nod to liven things up	2
156527	on	2
156528	the nod to liven things up	2
156529	nod to liven things up	2
156530	nod	2
156531	to liven things up	2
156532	liven things up	2
156533	liven things	2
156534	liven	2
156535	things	2
156536	up	2
156537	For all its failed connections , Divine Secrets of the Ya-Ya Sisterhood is nurturing , in a gauzy , dithering way .	2
156538	For all its failed connections	2
156539	all its failed connections	2
156540	its failed connections	2
156541	failed connections	2
156542	failed	2
156543	connections	2
156544	, Divine Secrets of the Ya-Ya Sisterhood is nurturing , in a gauzy , dithering way .	2
156545	Divine Secrets of the Ya-Ya Sisterhood is nurturing , in a gauzy , dithering way .	2
156546	Divine Secrets of the Ya-Ya Sisterhood	2
156547	Divine Secrets	2
156548	Divine	2
156549	Secrets	2
156550	of the Ya-Ya Sisterhood	2
156551	the Ya-Ya Sisterhood	2
156552	Ya-Ya Sisterhood	2
156553	Ya-Ya	2
156554	Sisterhood	3
156555	is nurturing , in a gauzy , dithering way .	2
156556	is nurturing , in a gauzy , dithering way	2
156557	is nurturing ,	2
156558	is nurturing	2
156559	nurturing	2
156560	in a gauzy , dithering way	2
156561	a gauzy , dithering way	2
156562	a gauzy ,	2
156563	a gauzy	2
156564	gauzy	2
156565	dithering way	2
156566	dithering	2
156567	It would be hard to think of a recent movie that has worked this hard to achieve this little fun .	2
156568	would be hard to think of a recent movie that has worked this hard to achieve this little fun .	2
156569	would be hard to think of a recent movie that has worked this hard to achieve this little fun	2
156570	would	2
156571	be hard to think of a recent movie that has worked this hard to achieve this little fun	3
156572	be	2
156573	hard to think of a recent movie that has worked this hard to achieve this little fun	3
156574	hard	3
156575	to think of a recent movie that has worked this hard to achieve this little fun	2
156576	think of a recent movie that has worked this hard to achieve this little fun	2
156577	think	2
156578	of a recent movie that has worked this hard to achieve this little fun	2
156579	a recent movie that has worked this hard to achieve this little fun	2
156580	a recent movie	2
156581	recent movie	2
156582	recent	2
156583	that has worked this hard to achieve this little fun	2
156584	has worked this hard to achieve this little fun	2
156585	has	2
156586	worked this hard to achieve this little fun	2
156587	worked	2
156588	this hard to achieve this little fun	3
156589	hard to achieve this little fun	3
156590	to achieve this little fun	1
156591	achieve this little fun	1
156592	achieve	3
156593	this little fun	1
156594	little fun	1
156595	little	2
156596	fun	1
156597	The story and structure are well-honed .	2
156598	The story and structure	2
156599	story and structure	2
156600	story and	2
156601	story	2
156602	structure	2
156603	are well-honed .	2
156604	are well-honed	2
156605	are	2
156606	well-honed	2
156607	Chilling but uncommercial look into the mind of Jeffrey Dahmer , serial killer .	2
156608	Chilling but uncommercial	2
156609	Chilling but	2
156610	Chilling	2
156611	uncommercial	2
156612	look into the mind of Jeffrey Dahmer , serial killer .	3
156613	look into the mind of Jeffrey Dahmer , serial killer	3
156614	look	2
156615	into the mind of Jeffrey Dahmer , serial killer	3
156616	the mind of Jeffrey Dahmer , serial killer	3
156617	the mind	2
156618	mind	2
156619	of Jeffrey Dahmer , serial killer	3
156620	Jeffrey Dahmer , serial killer	3
156621	Jeffrey Dahmer ,	2
156622	Jeffrey Dahmer	2
156623	Jeffrey	2
156624	Dahmer	2
156625	serial killer	3
156626	serial	3
156627	killer	2
156628	... the movie is just a plain old monster .	2
156629	the movie is just a plain old monster .	2
156630	is just a plain old monster .	2
156631	is just a plain old monster	2
156632	is just	2
156633	just	2
156634	a plain old monster	2
156635	plain old monster	2
156636	plain old	2
156637	plain	2
156638	old	2
156639	monster	2
156640	This film 's relationship to actual tension is the same as what Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .	2
156641	This film 's relationship to actual tension	3
156642	This film 's relationship	2
156643	This film 's	2
156644	film 's	2
156645	relationship	2
156646	to actual tension	2
156647	actual tension	2
156648	actual	2
156649	tension	2
156650	is the same as what Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .	2
156651	is the same as what Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation	2
156652	the same as what Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation	2
156653	the same	2
156654	as what Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation	2
156655	what Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation	2
156656	Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation	2
156657	Christmas-tree flocking in a spray can	2
156658	Christmas-tree flocking	2
156659	Christmas-tree	2
156660	flocking	2
156661	in a spray can	2
156662	a spray can	2
156663	spray can	2
156664	spray	2
156665	can	2
156666	is to actual snow : a poor -- if durable -- imitation	2
156667	to actual snow : a poor -- if durable -- imitation	2
156668	actual snow : a poor -- if durable -- imitation	2
156669	actual snow :	2
156670	actual snow	2
156671	snow	2
156672	:	2
156673	a poor -- if durable -- imitation	2
156674	poor -- if durable -- imitation	2
156675	poor -- if durable --	2
156676	poor	2
156677	-- if durable --	2
156678	--	2
156679	if durable --	2
156680	if durable	2
156681	if	2
156682	durable	2
156683	imitation	2
156684	A depressing confirmation of everything those of us who do n't object to the description `` unelected '' have suspected all along : George W. Bush is an incurious , uncharismatic , overgrown frat boy with a mean streak a mile wide .	2
156685	A depressing confirmation of everything those of us who do n't object to the description `` unelected '' have suspected all along : George W. Bush is an incurious , uncharismatic , overgrown frat boy with a mean streak a mile wide	2
156686	A depressing confirmation of everything those of us who do n't object to the description `` unelected '' have suspected all along :	3
156687	A depressing confirmation of everything those of us who do n't object to the description `` unelected '' have suspected all along	3
156688	A depressing confirmation of everything those of us who do n't object to the description `` unelected ''	3
156689	A depressing confirmation	2
156690	depressing confirmation	2
156691	depressing	2
156692	confirmation	2
156693	of everything those of us who do n't object to the description `` unelected ''	3
156694	everything those of us who do n't object to the description `` unelected ''	3
156695	everything	3
156696	those of us who do n't object to the description `` unelected ''	2
156697	those of us	2
156698	those	2
156699	of us	2
156700	us	2
156701	who do n't object to the description `` unelected ''	3
156702	who	2
156703	do n't object to the description `` unelected ''	3
156704	do n't	2
156705	do	2
156706	object to the description `` unelected ''	3
156707	object	2
156708	to the description `` unelected ''	3
156709	the description `` unelected ''	3
156710	description `` unelected ''	3
156711	description	3
156712	`` unelected ''	2
156713	``	2
156714	unelected ''	2
156715	unelected	2
156716	''	2
156717	have suspected all along	2
156718	have	2
156719	suspected all along	2
156720	suspected	2
156721	all along	2
156722	along	2
156723	George W. Bush is an incurious , uncharismatic , overgrown frat boy with a mean streak a mile wide	1
156724	George W. Bush	2
156725	George	2
156726	W. Bush	2
156727	W.	2
156728	Bush	2
156729	is an incurious , uncharismatic , overgrown frat boy with a mean streak a mile wide	2
156730	an incurious , uncharismatic , overgrown frat boy with a mean streak a mile wide	2
156731	an incurious , uncharismatic , overgrown frat boy	2
156732	incurious , uncharismatic , overgrown frat boy	2
156733	incurious	2
156734	, uncharismatic , overgrown frat boy	2
156735	uncharismatic , overgrown frat boy	2
156736	uncharismatic	2
156737	, overgrown frat boy	2
156738	overgrown frat boy	2
156739	overgrown	2
156740	frat boy	2
156741	frat	2
156742	boy	2
156743	with a mean streak a mile wide	2
156744	with	2
156745	a mean streak a mile wide	2
156746	a mean streak a mile	2
156747	a mean streak	2
156748	mean streak	2
156749	mean	2
156750	streak	2
156751	a mile	2
156752	mile	2
156753	wide	2
156754	You do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .	2
156755	do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .	2
156756	do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance	2
156757	have to know about music to appreciate the film 's easygoing blend of comedy and romance	2
156758	have to know about music	2
156759	to know about music	2
156760	know about music	2
156761	know	2
156762	about music	2
156763	music	2
156764	to appreciate the film 's easygoing blend of comedy and romance	1
156765	appreciate the film 's easygoing blend of comedy and romance	1
156766	appreciate	2
156767	the film 's easygoing blend of comedy and romance	2
156768	the film 's easygoing blend	2
156769	the film 's	2
156770	easygoing blend	2
156771	easygoing	2
156772	blend	2
156773	of comedy and romance	2
156774	comedy and romance	2
156775	comedy and	2
156776	comedy	2
156777	romance	2
156778	However , it lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts .	2
156779	However	2
156780	, it lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts .	2
156781	it lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts .	2
156782	lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts .	2
156783	lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts	2
156784	lacks	2
156785	grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts	2
156786	grandeur and	2
156787	grandeur	2
156788	that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts	2
156789	that epic quality	2
156790	epic quality	2
156791	epic	2
156792	quality	2
156793	often associated with Stevenson 's tale as well as with earlier Disney efforts	2
156794	often	3
156795	associated with Stevenson 's tale as well as with earlier Disney efforts	2
156796	associated	2
156797	with Stevenson 's tale as well as with earlier Disney efforts	2
156798	with Stevenson 's tale as well as	2
156799	with Stevenson 's tale	2
156800	Stevenson 's tale	2
156801	Stevenson 's	2
156802	Stevenson	2
156803	tale	2
156804	as well as	2
156805	well as	2
156806	with earlier Disney efforts	2
156807	earlier Disney efforts	2
156808	earlier	2
156809	Disney efforts	2
156810	Disney	2
156811	efforts	2
156812	Although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs .	2
156813	Although occasionally static to the point of resembling a stage play	1
156814	Although	2
156815	occasionally static to the point of resembling a stage play	1
156816	occasionally	2
156817	static to the point of resembling a stage play	1
156818	static	2
156819	to the point of resembling a stage play	1
156820	the point of resembling a stage play	1
156821	the point	1
156822	point	1
156823	of resembling a stage play	3
156824	resembling a stage play	3
156825	resembling	3
156826	a stage play	2
156827	stage play	2
156828	stage	2
156829	play	2
156830	, the film delivers a solid mixture of sweetness and laughs .	2
156831	the film delivers a solid mixture of sweetness and laughs .	2
156832	delivers a solid mixture of sweetness and laughs .	2
156833	delivers a solid mixture of sweetness and laughs	2
156834	delivers a solid mixture of sweetness and	2
156835	delivers a solid mixture of sweetness	2
156836	a solid mixture of sweetness	2
156837	a solid mixture	2
156838	solid mixture	2
156839	solid	2
156840	mixture	2
156841	of sweetness	2
156842	sweetness	2
156843	laughs	1
156844	An occasionally funny , but overall limp , fish-out-of-water story .	2
156845	An occasionally funny , but overall limp , fish-out-of-water	2
156846	occasionally funny , but overall limp , fish-out-of-water	2
156847	occasionally funny , but overall limp ,	2
156848	occasionally funny	2
156849	funny	2
156850	, but overall limp ,	2
156851	but overall limp ,	2
156852	overall limp ,	2
156853	overall	2
156854	limp ,	2
156855	limp	2
156856	fish-out-of-water	2
156857	story .	2
156858	a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes .	2
156859	a nightmare date with a half-formed wit	3
156860	a nightmare date	3
156861	nightmare date	3
156862	nightmare	3
156863	date	2
156864	with a half-formed wit	2
156865	a half-formed wit	2
156866	half-formed wit	2
156867	half-formed	2
156868	wit	2
156869	done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes .	2
156870	done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes	2
156871	done a great disservice by a lack of critical distance and a sad trust	2
156872	done a great disservice	2
156873	a great disservice	2
156874	great disservice	2
156875	disservice	2
156876	by a lack of critical distance and a sad trust	2
156877	a lack of critical distance and a sad trust	2
156878	a lack	2
156879	lack	2
156880	of critical distance and a sad trust	2
156881	critical distance and a sad trust	2
156882	critical distance and	2
156883	critical distance	2
156884	critical	2
156885	distance	2
156886	a sad trust	2
156887	sad trust	2
156888	trust	2
156889	in liberal arts college bumper sticker platitudes	2
156890	liberal arts college bumper sticker platitudes	2
